,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
20,8779-qrdmv,male,1,no,no,1,no,no phone service,dsl,no,no,yes,no,no,yes,month-to-month,yes,electronic check,39.65,39.65,yes
21,1680-vdcww,male,0,yes,no,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),19.8,202.25,no
22,1066-jksgk,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.15,20.15,yes
23,3638-weabw,female,0,yes,no,58,yes,yes,dsl,no,yes,no,yes,no,no,two year,yes,credit card (automatic),59.9,3505.1,no
24,6322-hrpfa,male,0,yes,yes,49,yes,no,dsl,yes,yes,no,yes,no,no,month-to-month,no,credit card (automatic),59.6,2970.3,no
25,6865-jznko,female,0,no,no,30,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,bank transfer (automatic),55.3,1530.6,no
26,6467-chfzw,male,0,yes,yes,47,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,99.35,4749.15,yes
27,8665-utdhz,male,0,yes,yes,1,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,no,electronic check,30.2,30.2,yes
28,5248-ygijn,male,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),90.25,6369.45,no
29,8773-hhuoz,female,0,no,yes,17,yes,no,dsl,no,no,no,no,yes,yes,month-to-month,yes,mailed check,64.7,1093.1,yes
30,3841-nfecx,female,1,yes,no,71,yes,yes,fiber optic,yes,yes,yes,yes,no,no,two year,yes,credit card (automatic),96.35,6766.95,no
31,4929-xihvw,male,1,yes,no,2,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),95.5,181.65,no
32,6827-ieauq,female,0,yes,yes,27,yes,no,dsl,yes,yes,yes,yes,no,no,one year,no,mailed check,66.15,1874.45,no
33,7310-egvhz,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),20.2,20.2,no
34,3413-bmnze,male,1,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),45.25,45.25,no
35,6234-raapl,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,no,yes,yes,no,two year,no,bank transfer (automatic),99.9,7251.7,no
36,6047-yhpvi,male,0,no,no,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.7,316.9,yes
37,6572-adkrs,female,0,no,no,46,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,credit card (automatic),74.8,3548.3,no
38,5380-wjkov,male,0,no,no,34,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,106.35,3549.25,yes
39,8168-uqwwf,female,0,no,no,11,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),97.85,1105.4,yes
40,8865-tnmnx,male,0,yes,yes,10,yes,no,dsl,no,yes,no,no,no,no,one year,no,mailed check,49.55,475.7,no
41,9489-dedvp,female,0,yes,yes,70,yes,yes,dsl,yes,yes,no,no,yes,no,two year,yes,credit card (automatic),69.2,4872.35,no
42,9867-jczsp,female,0,yes,yes,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.75,418.25,no
43,4671-vjlcl,female,0,no,no,63,yes,yes,dsl,yes,yes,yes,yes,yes,no,two year,yes,credit card (automatic),79.85,4861.45,no
44,4080-iiard,female,0,yes,no,13,yes,yes,dsl,yes,yes,no,yes,yes,no,month-to-month,yes,electronic check,76.2,981.45,no
45,3714-ntnfo,female,0,no,no,49,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,84.5,3906.7,no
46,5948-ujzlf,male,0,no,no,2,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,mailed check,49.25,97.0,no
47,7760-oypdy,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,80.65,144.15,yes
48,7639-liayi,male,0,no,no,52,yes,yes,dsl,yes,no,no,yes,yes,yes,two year,yes,credit card (automatic),79.75,4217.8,no
49,2954-pibko,female,0,yes,yes,69,yes,yes,dsl,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),64.15,4254.1,no
50,8012-soudq,female,1,no,no,43,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,electronic check,90.25,3838.75,no
51,9420-lojkx,female,0,no,no,15,yes,no,fiber optic,yes,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),99.1,1426.4,yes
52,6575-suvoi,female,1,yes,no,25,yes,yes,dsl,yes,no,no,yes,yes,no,month-to-month,yes,credit card (automatic),69.5,1752.65,no
53,7495-ookfy,female,1,yes,no,8,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),80.65,633.3,yes
54,4667-qonea,female,1,yes,yes,60,yes,no,dsl,yes,yes,yes,yes,no,yes,one year,yes,credit card (automatic),74.85,4456.35,no
55,1658-bygoy,male,1,no,no,18,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.45,1752.55,yes
56,8769-kktph,female,0,yes,yes,63,yes,yes,fiber optic,yes,no,no,no,yes,yes,one year,yes,credit card (automatic),99.65,6311.2,no
57,5067-xjqfu,male,1,yes,yes,66,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,electronic check,108.45,7076.35,no
58,3957-sqxml,female,0,yes,yes,34,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),24.95,894.3,no
59,5954-bdfsg,female,0,no,no,72,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,yes,credit card (automatic),107.5,7853.7,no
60,0434-csfon,female,0,yes,no,47,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,100.5,4707.1,no
61,1215-figmp,male,0,no,no,60,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.9,5450.7,no
62,0526-sxdjp,male,0,yes,no,72,no,no phone service,dsl,yes,yes,yes,no,no,no,two year,no,bank transfer (automatic),42.1,2962.0,no
63,0557-askvu,female,0,yes,yes,18,yes,no,dsl,no,no,yes,yes,no,no,one year,yes,credit card (automatic),54.4,957.1,no
64,5698-bqjoh,female,0,no,no,9,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,electronic check,94.4,857.25,yes
65,5122-cyfxa,female,0,no,no,3,yes,no,dsl,no,yes,no,yes,yes,yes,month-to-month,yes,electronic check,75.3,244.1,no
66,8627-zygsz,male,0,yes,no,47,yes,yes,fiber optic,no,yes,no,no,no,no,one year,yes,electronic check,78.9,3650.35,no
67,3410-yoqbq,female,0,no,no,31,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,no,mailed check,79.2,2497.2,no
68,3170-nmyvv,female,0,yes,yes,50,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.15,930.9,no
69,7410-oiedu,male,0,no,no,10,yes,no,fiber optic,yes,no,yes,no,no,no,month-to-month,yes,mailed check,79.85,887.35,no
70,2273-qckxa,male,0,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,mailed check,49.05,49.05,no
71,0731-ebjqb,female,0,yes,yes,52,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,20.4,1090.65,no
72,1891-qrqsa,male,1,yes,yes,64,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),111.6,7099.0,no
73,8028-pnxhq,male,0,yes,yes,62,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),24.25,1424.6,no
74,5630-ahzil,female,0,no,yes,3,yes,no,dsl,yes,no,no,yes,no,yes,month-to-month,yes,bank transfer (automatic),64.5,177.4,no
75,2673-cxqeu,female,1,no,no,56,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,no,electronic check,110.5,6139.5,no
76,6416-jnvrk,female,0,no,no,46,yes,no,dsl,no,no,no,no,no,yes,one year,no,credit card (automatic),55.65,2688.85,no
77,5590-zskrv,female,0,yes,yes,8,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,no,mailed check,54.65,482.25,no
78,0191-zhskz,male,1,no,no,30,yes,no,dsl,yes,yes,no,no,yes,yes,month-to-month,yes,electronic check,74.75,2111.3,no
79,3887-pbqao,female,0,yes,yes,45,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),25.9,1216.6,no
80,5919-tmrgd,female,0,no,yes,1,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,79.35,79.35,yes
81,8108-uxrqn,female,0,yes,yes,11,no,no phone service,dsl,yes,no,no,no,yes,yes,month-to-month,no,electronic check,50.55,565.35,no
82,9191-myqkx,female,0,yes,no,7,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,bank transfer (automatic),75.15,496.9,yes
83,9919-ylnng,female,0,no,no,42,yes,no,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),103.8,4327.5,no
84,0318-zopws,female,0,yes,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),20.15,973.35,no
85,4445-zjnmu,male,0,no,no,9,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),99.3,918.75,no
86,4808-ynleu,female,0,yes,no,35,yes,no,dsl,yes,no,no,no,yes,no,one year,yes,bank transfer (automatic),62.15,2215.45,no
87,1862-qrwpe,female,0,yes,yes,48,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.65,1057.0,no
88,2796-nnufi,female,0,yes,yes,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.95,927.1,no
89,3016-ksvcp,male,0,yes,no,29,no,no phone service,dsl,no,no,no,no,yes,no,month-to-month,no,mailed check,33.75,1009.25,no
90,4767-hzzhq,male,0,yes,yes,30,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),82.05,2570.2,no
91,2424-wvhpl,male,1,no,no,1,yes,no,fiber optic,no,no,no,yes,no,no,month-to-month,no,electronic check,74.7,74.7,no
92,7233-pahhl,male,0,yes,yes,66,yes,yes,dsl,yes,no,yes,yes,yes,yes,two year,yes,mailed check,84.0,5714.25,no
93,6067-ngceu,female,0,no,no,65,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),111.05,7107.0,no
94,9848-jqjtx,male,0,no,no,72,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),100.9,7459.05,no
95,8637-xjivr,female,0,no,no,12,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,electronic check,78.95,927.35,yes
96,9803-ftjcg,male,0,yes,yes,71,yes,yes,dsl,yes,yes,no,yes,no,no,one year,yes,credit card (automatic),66.85,4748.7,no
97,0278-yxoog,male,0,no,no,5,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,21.05,113.85,yes
98,3212-kxocr,male,0,no,no,52,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),21.0,1107.2,no
99,4598-xlknj,female,1,yes,no,25,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,98.5,2514.5,yes
100,6380-arceh,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.2,20.2,no
101,3679-xaspy,female,0,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,19.45,19.45,no
102,7123-wquhx,male,0,no,no,38,yes,yes,fiber optic,no,no,yes,yes,yes,no,one year,no,bank transfer (automatic),95.0,3605.6,no
103,5386-thslq,female,1,yes,no,66,no,no phone service,dsl,no,yes,yes,no,yes,no,one year,no,bank transfer (automatic),45.55,3027.25,no
104,3192-nqeca,male,0,yes,no,68,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),110.0,7611.85,yes
105,6180-ybiqi,male,0,no,no,5,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,24.3,100.2,no
106,6728-dkuco,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,no,no,yes,yes,one year,yes,electronic check,104.15,7303.05,no
107,9750-boohv,female,0,no,no,32,no,no phone service,dsl,yes,no,no,no,no,no,one year,no,mailed check,30.15,927.65,no
108,8597-cwyhh,male,0,no,no,43,yes,yes,fiber optic,no,no,no,no,yes,yes,one year,no,mailed check,94.35,3921.3,no
109,2848-yxsmw,male,0,yes,yes,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.4,1363.25,no
110,0486-heczi,male,0,yes,no,55,yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,96.75,5238.9,yes
111,4549-zdqyy,female,0,no,no,52,yes,no,dsl,yes,no,yes,yes,no,no,one year,no,credit card (automatic),57.95,3042.25,no
112,5712-ahqnn,female,0,no,no,43,yes,no,fiber optic,no,yes,yes,no,yes,no,month-to-month,yes,electronic check,91.65,3954.1,no
113,4846-whafz,female,1,yes,no,37,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,76.5,2868.15,yes
114,5256-skjgo,female,0,yes,yes,64,no,no phone service,dsl,no,yes,no,yes,yes,yes,two year,yes,electronic check,54.6,3423.5,no
115,3071-vbypo,male,0,yes,yes,3,yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,no,electronic check,89.85,248.4,no
116,9560-bbzxk,female,0,no,no,36,no,no phone service,dsl,yes,no,no,no,no,no,two year,no,bank transfer (automatic),31.05,1126.35,no
117,5299-ruloa,female,0,yes,yes,10,yes,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,yes,electronic check,100.25,1064.65,yes
118,8402-ooohj,female,0,no,no,41,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.65,835.15,no
119,9445-zueqe,male,0,yes,yes,27,yes,yes,fiber optic,no,yes,no,yes,no,no,month-to-month,yes,credit card (automatic),85.2,2151.6,no
120,1091-sozga,female,0,yes,yes,56,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,yes,credit card (automatic),99.8,5515.45,no
121,2928-hldba,female,0,no,no,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.7,112.75,no
122,0404-swrvg,male,0,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.4,229.55,yes
123,6497-tilvl,female,0,yes,yes,7,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,50.7,350.35,no
124,7219-tlzho,female,0,yes,yes,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.85,62.9,no
125,4622-ynkij,male,0,no,no,33,yes,no,fiber optic,yes,no,no,yes,yes,no,two year,yes,electronic check,88.95,3027.65,no
126,4412-yltkf,female,1,no,no,27,yes,yes,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,78.05,2135.5,yes
127,6734-psbaw,male,0,yes,no,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),23.55,1723.95,no
128,3930-zgwve,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.75,19.75,no
129,2639-ugmaz,male,1,no,no,71,no,no phone service,dsl,yes,yes,no,no,yes,yes,one year,yes,electronic check,56.45,3985.35,no
130,2876-gzyzc,female,0,no,no,13,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.95,1215.65,no
131,6207-wiolx,female,0,yes,yes,25,no,no phone service,dsl,yes,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),58.6,1502.65,yes
132,8587-xyzsf,male,0,no,no,67,yes,no,dsl,no,no,no,yes,no,no,two year,no,bank transfer (automatic),50.55,3260.1,no
133,3091-fyhki,male,0,no,no,1,no,no phone service,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic check,35.45,35.45,yes
134,2372-hwuhi,male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,44.35,81.25,yes
135,7799-lgrdp,female,0,no,no,43,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),25.7,1188.2,no
136,7850-vwjuu,female,0,no,no,23,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.0,1778.5,no
137,3774-vbnxy,female,0,yes,yes,64,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.2,1277.75,no
138,6217-kdywc,male,0,no,yes,57,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.6,1170.55,no
139,0390-dcfdq,female,1,yes,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,70.45,70.45,yes
140,3146-msegf,female,1,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),88.05,6425.65,no
141,4080-ogpjl,female,0,no,no,8,yes,yes,dsl,yes,no,no,yes,no,yes,month-to-month,no,electronic check,71.15,563.65,yes
142,1095-wgngg,female,0,yes,no,61,yes,yes,fiber optic,no,yes,no,no,yes,yes,two year,yes,bank transfer (automatic),101.05,5971.25,no
143,2636-sjdou,male,0,no,no,64,yes,yes,fiber optic,yes,yes,no,no,no,no,one year,yes,credit card (automatic),84.3,5289.05,no
144,1131-qqzeb,male,1,yes,no,71,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),23.95,1756.2,no
145,5716-ezxzn,female,0,yes,yes,65,yes,yes,fiber optic,yes,yes,no,yes,yes,no,two year,yes,credit card (automatic),99.05,6416.7,no
146,6837-bjydq,male,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.6,61.35,no
147,2135-rxihg,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,45.65,45.65,yes
148,6440-dkqge,male,0,no,yes,30,yes,no,dsl,no,yes,yes,no,yes,no,one year,no,credit card (automatic),64.5,1929.95,no
149,3466-byavd,male,0,yes,yes,15,yes,no,dsl,no,yes,yes,yes,no,yes,month-to-month,yes,mailed check,69.5,1071.4,no
150,3780-yvmfa,female,0,yes,yes,8,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,68.55,564.35,no
151,3874-eqoep,male,0,no,no,7,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,mailed check,95.0,655.5,yes
152,1679-jrfbr,female,0,yes,yes,70,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,credit card (automatic),108.15,7930.55,no
153,9073-zziay,male,0,yes,yes,62,yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,no,electronic check,86.1,5215.25,no
154,3077-rsntj,female,0,yes,yes,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.7,113.5,no
155,6551-gnydg,female,0,yes,yes,14,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,bank transfer (automatic),80.9,1152.8,no
156,9167-apmxz,female,0,no,no,22,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),84.15,1821.95,no
157,2749-ctkaj,male,0,yes,yes,22,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.15,419.9,no
158,6371-nzyeg,male,0,yes,yes,16,yes,no,dsl,yes,no,yes,no,yes,no,two year,no,mailed check,64.25,1024.0,no
159,7554-newdd,male,0,no,no,10,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),25.7,251.6,no
160,8992-vonjd,female,0,no,yes,13,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,electronic check,56.0,764.55,no
161,0867-mkzvy,female,0,yes,no,20,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,no,electronic check,82.4,1592.35,yes
162,4482-ewfmi,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.7,135.2,no
163,4648-ypbtm,male,0,no,no,53,yes,yes,dsl,no,yes,yes,yes,no,yes,two year,yes,bank transfer (automatic),73.9,3958.25,no
164,2907-iljbn,female,0,yes,yes,11,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.6,233.9,no
165,6345-fzoqh,male,0,yes,no,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.9,1363.45,no
166,3376-bmgfe,female,0,no,no,4,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),70.9,273.0,yes
167,5997-opvfa,male,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),89.05,6254.45,no
168,3445-hxxgf,male,1,yes,no,58,no,no phone service,dsl,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,45.3,2651.2,yes
169,1159-wfsgr,female,0,yes,yes,16,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,20.4,321.4,no
170,7654-ywjuf,male,0,yes,no,43,yes,no,fiber optic,yes,no,yes,yes,no,no,one year,yes,bank transfer (automatic),84.25,3539.25,no
171,1875-qivme,female,0,yes,no,2,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,104.4,242.8,yes
172,6727-iotlz,male,0,yes,no,14,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,no,mailed check,81.95,1181.75,no
173,0691-jvsya,female,0,yes,no,53,yes,no,fiber optic,no,no,yes,no,yes,yes,one year,yes,bank transfer (automatic),94.85,5000.2,yes
174,5918-vukwp,female,0,no,no,32,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),20.55,654.55,no
175,1744-jhkys,female,0,yes,no,34,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,24.7,780.2,no
176,2656-fmokz,female,1,no,no,15,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,74.45,1145.7,yes
177,2070-fnexe,female,1,no,no,7,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,bank transfer (automatic),76.45,503.6,yes
178,5947-sgkcl,female,0,yes,yes,15,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),105.35,1559.25,no
179,3712-pkxza,male,0,yes,no,61,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),20.55,1252.0,no
180,6317-ypkdh,female,0,no,no,1,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,no,bank transfer (automatic),29.95,29.95,yes
181,6582-oivsp,female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,45.3,45.3,no
182,9367-wxlch,male,0,no,no,8,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,no,bank transfer (automatic),84.5,662.65,yes
183,5524-khnjp,male,0,yes,yes,33,yes,no,dsl,yes,no,yes,no,yes,yes,one year,no,credit card (automatic),74.75,2453.3,no
184,1918-zbfqj,female,0,no,no,13,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,electronic check,79.25,1111.65,yes
185,1024-guald,female,0,yes,no,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,24.8,24.8,yes
